name,kind,start,end,total_lines,proof_start,proof_end,proof_lines,deps_count,deps,internal_callers_count,internal_callers,external_qualified_count,external_qualified_uses,public_root,public_closure,role,ownership,audit_action,audit_note
Tiling,Module,16,16,1,,,0,0,,10,PL;check_statement_tiling_witnessb_sound;check_pinstr_tiling_compiledb;check_pinstr_tiling_sourceb;check_pinstr_tiling_compiledb_sound;check_pinstr_tiling_sourceb_sound;check_pinstr_list_tiling_compiledb_sound;check_pinstr_list_tiling_sourceb_sound;check_pprog_tiling_compiledb_sound;check_pprog_tiling_sourceb_sound,1,src/TilingValidator.v:30,True,True,semantic module alias,public functor facade,keep,Keep near its checker/spec pair; no separate low-level issue found.
PL,Module,17,17,1,,,0,1,Tiling,12,check_pinstr_tiling_compiledb;check_pinstr_tiling_sourceb;check_pinstr_tiling_compiledb_sound;check_pinstr_tiling_sourceb_sound;check_pinstr_list_tiling_compiledb;check_pinstr_list_tiling_sourceb;check_pinstr_list_tiling_compiledb_sound;check_pinstr_list_tiling_sourceb_sound;check_pprog_tiling_compiledb;check_pprog_tiling_sourceb;check_pprog_tiling_compiledb_sound;check_pprog_tiling_sourceb_sound,0,,False,True,polyhedral language alias,internal readability alias,keep,Keep near its checker/spec pair; no separate low-level issue found.
Ty,Module,18,18,1,,,0,0,,2,ctxt_ty_eqb;ctxt_ty_eqb_eq,0,,False,True,instruction type alias,internal readability alias,keep,Keep near its checker/spec pair; no separate low-level issue found.
ctxt_eqb,Fixpoint,20,26,7,,,0,0,,3,ctxt_eqb_eq;check_pprog_tiling_compiledb;check_pprog_tiling_sourceb,33,src/TilingBandMixedSecondValidator.v:2943;src/TilingBandMixedSecondValidator.v:3033;src/TilingBandScheduleValidator.v:3707;src/TilingBandScheduleValidator.v:3726;src/TilingBandScheduleValidator.v:3747;src/TilingBandScheduleValidator.v:3771;src/TilingBandScheduleValidator.v:3802;src/TilingBandScheduleValidator.v:5966;src/TilingBandScheduleValidator.v:6004;src/TilingBandScheduleValidator.v:6042;src/TilingBandScheduleValidator.v:6445;src/TilingBandScheduleValidator.v:6523;src/TilingBandScheduleValidator.v:9463;src/TilingBandScheduleValidator.v:9516;src/TilingBandScheduleValidator.v:9820;src/TilingBandScheduleValidator.v:9842;src/TilingBandScheduleValidator.v:10369;src/TilingBandScheduleValidator.v:10445;src/TilingBandScheduleValidator.v:12843;src/TilingBandScheduleValidator.v:13947;src/TilingBandScheduleValidator.v:15409;src/TilingBandScheduleValidator.v:15447;src/TilingBandScheduleValidator.v:16101;src/TilingBandScheduleValidator.v:16204;src/TilingBandScheduleValidator.v:22690;src/TilingBandScheduleValidator.v:22729;src/TilingBandScheduleValidator.v:24525;src/TilingBandScheduleValidator.v:24573;src/TilingBandScheduleValidator.v:24962;src/TilingBandScheduleValidator.v:25027;src/TilingBandPhaseScalarValidator.v:227;src/TilingBandPhaseScalarValidator.v:474;src/TilingCanonicalScheduleValidator.v:53,True,True,identifier-context equality checker,shared checker utility,move/wrap,Duplicated in AffineValidator and ISSBoolChecker; use one Instr-parameterized utility.
ctxt_eqb_eq,Lemma,28,47,20,31,47,17,1,ctxt_eqb,2,check_pprog_tiling_compiledb_sound;check_pprog_tiling_sourceb_sound,13,src/TilingBandScheduleValidator.v:8581;src/TilingBandScheduleValidator.v:10371;src/TilingBandScheduleValidator.v:10447;src/TilingBandScheduleValidator.v:12845;src/TilingBandScheduleValidator.v:13949;src/TilingBandScheduleValidator.v:16144;src/TilingBandScheduleValidator.v:16328;src/TilingBandScheduleValidator.v:16355;src/TilingBandScheduleValidator.v:22748;src/TilingBandScheduleValidator.v:24999;src/TilingBandScheduleValidator.v:25068;src/TilingBandPhaseScalarValidator.v:486;src/TilingCanonicalScheduleValidator.v:154,True,True,identifier-context reflection,shared checker utility,move/wrap,Duplicated reflection theorem; preserve facade names if moved.
ctxt_ty_eqb,Fixpoint,49,56,8,,,0,1,Ty,3,ctxt_ty_eqb_eq;check_pprog_tiling_compiledb;check_pprog_tiling_sourceb,34,src/TilingBandMixedSecondValidator.v:2944;src/TilingBandMixedSecondValidator.v:3034;src/TilingBandScheduleValidator.v:3708;src/TilingBandScheduleValidator.v:3727;src/TilingBandScheduleValidator.v:3748;src/TilingBandScheduleValidator.v:3772;src/TilingBandScheduleValidator.v:3803;src/TilingBandScheduleValidator.v:5967;src/TilingBandScheduleValidator.v:6005;src/TilingBandScheduleValidator.v:6043;src/TilingBandScheduleValidator.v:6446;src/TilingBandScheduleValidator.v:6524;src/TilingBandScheduleValidator.v:9464;src/TilingBandScheduleValidator.v:9517;src/TilingBandScheduleValidator.v:9821;src/TilingBandScheduleValidator.v:9843;src/TilingBandScheduleValidator.v:9871;src/TilingBandScheduleValidator.v:10375;src/TilingBandScheduleValidator.v:10451;src/TilingBandScheduleValidator.v:12849;src/TilingBandScheduleValidator.v:13953;src/TilingBandScheduleValidator.v:15410;src/TilingBandScheduleValidator.v:15448;src/TilingBandScheduleValidator.v:16102;src/TilingBandScheduleValidator.v:16205;src/TilingBandScheduleValidator.v:22691;src/TilingBandScheduleValidator.v:22731;src/TilingBandScheduleValidator.v:24526;src/TilingBandScheduleValidator.v:24574;src/TilingBandScheduleValidator.v:24964;src/TilingBandScheduleValidator.v:25029;src/TilingBandPhaseScalarValidator.v:228;src/TilingBandPhaseScalarValidator.v:476;src/TilingCanonicalScheduleValidator.v:54,True,True,typed-context equality checker,shared checker utility,move/wrap,Duplicated in AffineValidator and ISSBoolChecker.
ctxt_ty_eqb_eq,Lemma,58,72,15,62,72,11,2,Ty;ctxt_ty_eqb,2,check_pprog_tiling_compiledb_sound;check_pprog_tiling_sourceb_sound,9,src/TilingBandScheduleValidator.v:8582;src/TilingBandScheduleValidator.v:16146;src/TilingBandScheduleValidator.v:16329;src/TilingBandScheduleValidator.v:16356;src/TilingBandScheduleValidator.v:22749;src/TilingBandScheduleValidator.v:25000;src/TilingBandScheduleValidator.v:25069;src/TilingBandPhaseScalarValidator.v:488;src/TilingCanonicalScheduleValidator.v:155,True,True,typed-context soundness,shared checker utility,move/wrap,Duplicated soundness theorem; checker could also expose iff/reflexivity once centrally.
check_tile_link_positiveb,Definition,74,75,2,,,0,0,,2,check_statement_tiling_witnessb;forallb_link_params_positive_sound,0,,False,True,tile-link scalar checker,tiling witness checker,keep/organize,Keep near its checker/spec pair; no separate low-level issue found.
check_well_formed_tile_linksb,Fixpoint,77,84,8,,,0,0,,2,check_statement_tiling_witnessb;check_well_formed_tile_linksb_sound,0,,False,True,recursive link-shape checker,tiling witness checker,keep/organize,Keep near its checker/spec pair; no separate low-level issue found.
check_statement_tiling_witnessb,Definition,86,93,8,,,0,2,check_tile_link_positiveb;check_well_formed_tile_linksb,3,check_statement_tiling_witnessb_sound;check_pinstr_tiling_compiledb;check_pinstr_tiling_sourceb,0,,False,True,statement witness checker,tiling witness checker,keep/organize,Keep near its checker/spec pair; no separate low-level issue found.
