section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Key order and generic list infrastructure,Lemma,False,NoDup_map_on_local,37,69,33,NoDup_map_on_local,46,69,24,22,22,1,before_ipl_from_after_nodup_complete_cut_shape,0,1,0,0,,0,True,internal-live
Key order and generic list infrastructure,Definition,False,instr_point_np_key,71,72,2,instr_point_np_key,,,0,0,0,8,instr_point_np_cmp_total;instr_point_np_eqb;instr_point_np_eqb_implies_np_eq;instr_point_np_eqb_ltb_implies_ltb;instr_point_np_eqb_symm;instr_point_np_ltb;instr_point_np_ltb_eqb_implies_ltb;instr_point_np_ltb_implies_np_lt,0,16,0,0,,17,True,internal-live
Key order and generic list infrastructure,Definition,False,instr_point_np_ltb,74,78,5,instr_point_np_ltb,,,0,0,0,7,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape;instr_point_np_cmp_total;instr_point_np_eqb_ltb_implies_ltb;instr_point_np_ltb_eqb_implies_ltb;instr_point_np_ltb_implies_np_lt;instr_point_np_ltb_trans;sortedb_instr_point_np_implies_sorted_np,0,14,0,0,,33,True,internal-live
Key order and generic list infrastructure,Definition,False,instr_point_np_eqb,80,84,5,instr_point_np_eqb,,,0,0,0,9,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape;instr_point_np_cmp_total;instr_point_np_eqb_implies_np_eq;instr_point_np_eqb_ltb_implies_ltb;instr_point_np_eqb_refl;instr_point_np_eqb_symm;instr_point_np_eqb_trans;instr_point_np_ltb_eqb_implies_ltb;sortedb_instr_point_np_implies_sorted_np,0,18,0,0,,37,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_ltb_trans,86,96,11,instr_point_np_ltb_trans,88,96,9,7,7,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_eqb_trans,98,108,11,instr_point_np_eqb_trans,100,108,9,7,7,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_eqb_refl,110,117,8,instr_point_np_eqb_refl,112,117,6,4,4,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_eqb_symm,119,126,8,instr_point_np_eqb_symm,121,126,6,4,4,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_cmp_total,128,140,13,instr_point_np_cmp_total,130,140,11,9,9,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_eqb_ltb_implies_ltb,142,158,17,instr_point_np_eqb_ltb_implies_ltb,144,158,15,13,13,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
