section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Declarations,Definition,False,env_dim_of,23,25,3,env_dim_of,,,0,0,0,0,,0,,0,0,0,0,,8,False,bare-external-candidate
Declarations,Definition,False,is_prefix_only_constraint,27,28,2,is_prefix_only_constraint,,,0,0,0,0,,3,guards_from_constraint;guards_from_constraint_exact_cols;guards_from_constraint_satisfied,0,3,0,0,,0,True,internal-live
Declarations,Definition,False,strengthen_prefix_len,30,31,2,strengthen_prefix_len,,,0,0,0,0,,0,,0,0,0,0,,0,False,zero-reference
Declarations,Definition,False,nth_or_zero,33,34,2,nth_or_zero,,,0,0,0,0,,1,cancels_current_iter,0,2,0,0,,0,True,internal-live
Declarations,Definition,False,cancels_current_iter,36,41,6,cancels_current_iter,,,0,0,0,1,nth_or_zero,3,guards_from_constraint;guards_from_constraint_exact_cols;guards_from_constraint_satisfied,0,3,0,0,,0,True,internal-live
Declarations,Fixpoint,False,guards_from_constraint,43,54,12,guards_from_constraint,,,0,0,0,2,cancels_current_iter;is_prefix_only_constraint,3,guards_from_constraint_exact_cols;guards_from_constraint_satisfied;inferred_prefix_guards,1,4,0,0,,0,True,internal-live
Declarations,Fixpoint,False,inferred_prefix_guards,56,62,7,inferred_prefix_guards,,,0,0,0,1,guards_from_constraint,3,inferred_prefix_guards_exact_cols;inferred_prefix_guards_satisfied;strengthen_domain,1,4,0,0,,0,True,internal-live
Declarations,Definition,False,strengthen_domain,64,71,8,strengthen_domain,,,0,0,0,1,inferred_prefix_guards,3,strengthen_domain_in_poly;strengthen_pi;strengthen_pi_wf_pinstr,0,5,0,0,,0,True,internal-live
Declarations,Definition,False,strengthen_pi,73,85,13,strengthen_pi,,,0,0,0,1,strengthen_domain,9,flatten_instrs_strengthen_iff;nth_error_strengthen_pprog;nth_error_strengthen_pprog_inv;poly_instance_list_semantics_unstrengthen;strengthen_pi_belongs_to_iff;strengthen_pi_in_poly;strengthen_pi_wf_pinstr;strengthen_pi_wf_pinstr_affine;strengthen_pprog,0,16,0,0,,0,True,internal-live
Declarations,Definition,False,strengthen_pprog,87,89,3,strengthen_pprog,,,0,0,0,1,strengthen_pi,3,instance_list_semantics_unstrengthen;strengthen_pprog_wf;strengthen_pprog_wf_affine,0,4,0,105,driver/CPolOpt.v;driver/ParallelPolOpt.v;driver/ParallelPolOptCorrect.v;driver/PolOpt.v;driver/PolOptBandTiling.v;driver/PolOptCanonicalTiling.v;driver/PolOptCorrect.v;driver/PolOptIdentityGenericISS.v;src/LoopJamValidator.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v;syntax/SPolOpt.v,0,True,confirmed-external
Declarations,Lemma,False,guards_from_constraint_satisfied,91,111,21,guards_from_constraint_satisfied,96,111,16,14,14,3,cancels_current_iter;guards_from_constraint;is_prefix_only_constraint,1,inferred_prefix_guards_satisfied,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,inferred_prefix_guards_satisfied,113,126,14,inferred_prefix_guards_satisfied,117,126,10,8,8,2,guards_from_constraint_satisfied;inferred_prefix_guards,1,strengthen_domain_in_poly,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,strengthen_domain_in_poly,128,141,14,strengthen_domain_in_poly,131,141,11,9,9,2,inferred_prefix_guards_satisfied;strengthen_domain,1,strengthen_pi_in_poly,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,strengthen_pi_in_poly,143,150,8,strengthen_pi_in_poly,147,150,4,2,2,2,strengthen_domain_in_poly;strengthen_pi,1,strengthen_pi_belongs_to_iff,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,strengthen_pi_belongs_to_iff,152,161,10,strengthen_pi_belongs_to_iff,156,161,6,4,4,2,strengthen_pi;strengthen_pi_in_poly,1,flatten_instrs_strengthen_iff,0,4,0,0,,0,True,internal-live
Declarations,Lemma,False,add_vector_length_same,163,174,12,add_vector_length_same,168,174,7,5,5,0,,2,add_constraint_exact_cols;guards_from_constraint_exact_cols,0,2,0,0,,0,True,internal-live
Declarations,Lemma,False,add_constraint_exact_cols,176,184,9,add_constraint_exact_cols,181,184,4,2,2,1,add_vector_length_same,0,,0,0,0,0,,0,False,zero-reference
Declarations,Lemma,False,guards_from_constraint_exact_cols,186,212,27,guards_from_constraint_exact_cols,191,212,22,20,20,4,add_vector_length_same;cancels_current_iter;guards_from_constraint;is_prefix_only_constraint,1,inferred_prefix_guards_exact_cols,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,inferred_prefix_guards_exact_cols,214,239,26,inferred_prefix_guards_exact_cols,218,239,22,20,20,2,guards_from_constraint_exact_cols;inferred_prefix_guards,1,strengthen_pi_wf_pinstr,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,exact_listzzs_cols_implies_poly_nrl_le,241,254,14,exact_listzzs_cols_implies_poly_nrl_le,245,254,10,8,8,0,,1,strengthen_pi_wf_pinstr,0,2,0,0,,12,True,internal-live
Declarations,Lemma,False,exact_listzzs_cols_app,256,267,12,exact_listzzs_cols_app,261,267,7,5,5,0,,1,strengthen_pi_wf_pinstr,0,1,0,0,,3,True,internal-live
Declarations,Lemma,False,strengthen_pi_wf_pinstr,269,316,48,strengthen_pi_wf_pinstr,273,316,44,42,42,5,exact_listzzs_cols_app;exact_listzzs_cols_implies_poly_nrl_le;inferred_prefix_guards_exact_cols;strengthen_domain;strengthen_pi,2,strengthen_pi_wf_pinstr_affine;strengthen_pprog_wf,0,2,0,0,,0,True,internal-live
Declarations,Lemma,False,strengthen_pi_wf_pinstr_affine,318,329,12,strengthen_pi_wf_pinstr_affine,322,329,8,6,6,2,strengthen_pi;strengthen_pi_wf_pinstr,1,strengthen_pprog_wf_affine,0,1,0,0,,0,True,internal-live
