name,short_name,scope,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_token_count,external_token_uses,external_name_collision,external_declaration_sites,public_root,public_closure,tactics,role,ownership,audit_action,audit_note,repository_reachability
list_beq,list_beq,top,Scheme,False,18,18,1,,,0,3,listzz_strict_eqb;listzzs_strict_eqb;access_list_strict_eqb,0,,3,src/CTy.v:48;src/PolyLang.v:541;src/PolyLang.v:581,True,src/Base.v:15,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generated generic list equality,Base or generic list library,reuse existing,Base.v already runs `Scheme Equality for list`; remove the duplicate source command here.,dependency of explicit external root
free_ident,free_ident,top,Definition,False,20,22,3,,,0,0,,0,,6,tiling_separate_extraction.v:58;src/Convert.v:1023;src/CInstr.v:113;src/CInstr.v:182;extraction/extraction.v:210;syntax/SInstr.v:893,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
Domain,Domain,top,Definition,False,23,26,4,,,0,1,listzzs_strict_eqb,0,,23,src/StrengthenDomain.v:44;src/StrengthenDomain.v:56;src/StrengthenDomain.v:64;src/TilingRelation.v:80;src/TilingRelation.v:224;src/TilingRelation.v:234;src/TilingRelation.v:238;src/Extractor.v:1418;src/Extractor.v:1467;src/Extractor.v:1740;src/ISSRefinement.v:150;src/PrepareCodegen.v:88;src/PolyLang.v:51;src/PolyLang.v:174;src/PolyLang.v:993;src/PolyLang.v:1016;src/PolyLang.v:3992;src/WitnessedPolyLangDesign.v:17;samples/CSample1.v:69;samples/CSample2.v:95;samples/CSample2.v:234;samples/CSample3.v:64;samples/CSample3.v:607,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
NP.t,t,NP,Definition,False,27,27,1,,,0,2,NP.eq;NP.eq_dec,0,,0,,True,lib/Ordered.v:31;lib/Ordered.v:61;lib/Ordered.v:91;lib/Ordered.v:129;lib/Ordered.v:172;lib/Maps.v:215;lib/Maps.v:1240;lib/Maps.v:1324;lib/Maps.v:1379;lib/Maps.v:1399;lib/Maps.v:1430;lib/Maps.v:1481;x86/Machregs.v:79;x86/Asm.v:306;common/Globalenvs.v:75;common/Globalenvs.v:148;src/CTy.v:89;src/TInstr.v:17;src/TInstr.v:25;src/TInstr.v:55;src/PolyLang.v:79;src/CState.v:26;src/CInstr.v:105;MenhirLib/Alphabet.v:231;MenhirLib/Validator_complete.v:24;MenhirLib/Validator_complete.v:29;polygen/ParallelLoop.v:44;polygen/Loop.v:192;VPL/coq/Map_poly.v:30;VPL/coq/LinTerm.v:98;VPL/coq/LinTerm.v:438;VPL/coq/DomainGCL.v:276;VPL/coq/CstrC.v:75;VPL/coq/ZNone.v:102;VPL/coq/NumC.v:257;VPL/coq/NumC.v:615;VPL/coq/AssignD.v:275;VPL/coq/DomainFunctors.v:47;VPL/coq/ASAtomicCond.v:30;VPL/coq/ASAtomicCond.v:208;VPL/coq/Itv.v:59;VPL/coq/PedraQ.v:54;VPL/coq/ConsSet.v:15;VPL/coq/ASTerm.v:29;VPL/coq/ASTerm.v:526;VPL/coq/ProgVar.v:24;VPL/coq/ProgVar.v:313;VPL/coq/ZNoneItv.v:26;VPL/coq/ZNoneItv.v:403;VPL/coq/CIndex.v:29;VPL/coq/CIndex.v:536;VPL/coq/CIndex.v:557;VPL/coq/ASCond.v:42;syntax/SInstr.v:23;syntax/SInstr.v:45;syntax/SInstr.v:108,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",legacy numbered-point set support,obsolete/compatibility block,retire or isolate,No explicit repository use; keep only after checking external API expectations.,outside explicit external-root closure
NP.eq,eq,NP,Definition,False,28,32,5,,,0,3,NP.eq_refl;NP.eq_equiv;NP.eq_dec,1,NP.t,0,,True,lib/Integers.v:177;lib/Ordered.v:32;lib/Ordered.v:62;lib/Ordered.v:92;lib/Ordered.v:130;lib/Ordered.v:174;lib/Maps.v:1393;lib/Maps.v:1411;x86/Machregs.v:80;x86/Asm.v:307;common/Values.v:66;src/TInstr.v:27;src/CState.v:1190;VPL/coq/CIndex.v:31;syntax/SInstr.v:47,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",legacy numbered-point set support,obsolete/compatibility block,retire or isolate,No explicit repository use; keep only after checking external API expectations.,outside explicit external-root closure
NP.eq_refl,eq_refl,NP,Lemma,False,33,38,6,35,38,4,1,NP.eq_equiv,1,NP.eq,0,,True,lib/Ordered.v:35;lib/Ordered.v:65;lib/Ordered.v:95;lib/Ordered.v:133;lib/Ordered.v:177;src/TInstr.v:28;src/CState.v:1204;VPL/coq/CIndex.v:68;syntax/SInstr.v:49,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 1, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",legacy numbered-point set support,obsolete/compatibility block,retire or isolate,No explicit repository use; keep only after checking external API expectations.,outside explicit external-root closure
NP.eq_equiv,eq_equiv,NP,Lemma,False,39,64,26,41,64,24,0,,2,NP.eq;NP.eq_refl,0,,False,,False,False,"{""apply"": 1, ""assert"": 0, ""auto"": 0, ""destruct"": 8, ""eapply"": 2, ""eauto"": 3, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 1, ""unfold"": 1}",legacy numbered-point set support,obsolete/compatibility block,retire or isolate,No explicit repository use; keep only after checking external API expectations.,outside explicit external-root closure
NP.eq_dec,eq_dec,NP,Lemma,False,65,83,19,67,82,16,1,NP.eq_dec,3,NP.eq;NP.eq_dec;NP.t,0,,True,lib/Floats.v:275;lib/Floats.v:1050;lib/Integers.v:168;lib/Ordered.v:53;lib/Ordered.v:83;lib/Ordered.v:121;lib/Ordered.v:159;lib/Ordered.v:249;VPL/coq/ProgVar.v:32;VPL/coq/CIndex.v:373;VPL/coq/CIndex.v:544;VPL/coq/CIndex.v:572,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 5, ""eapply"": 0, ""eauto"": 1, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 2, ""unfold"": 0}",legacy numbered-point set support,obsolete/compatibility block,retire or isolate,No explicit repository use; keep only after checking external API expectations.,outside explicit external-root closure
NPSet,NPSet,top,Module,False,85,85,1,,,0,1,NPSetProp,0,,0,,False,,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",legacy numbered-point set support,obsolete/compatibility block,retire or isolate,No explicit repository use; keep only after checking external API expectations.,outside explicit external-root closure
NPSetProp,NPSetProp,top,Module,False,86,86,1,,,0,0,,1,NPSet,0,,False,,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",legacy numbered-point set support,obsolete/compatibility block,retire or isolate,No explicit repository use; keep only after checking external API expectations.,outside explicit external-root closure
