name,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_qualified_count,external_qualified_uses,public_root,public_closure,tactics,role,ownership,audit_action,audit_note,repository_reachability
set_ip_nth,Definition,False,29,39,11,,,0,7,before_of_after_point;after_of_before_point;belongs_to_set_ip_nth_iff;instr_point_sema_set_ip_nth;before_of_after_point_time_stamp_preserved;before_ipl_from_after_forward;before_ipl_from_after_backward,0,,1,src/ISSCutSemantics.v:709,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,qualified external root
before_parent_nth,Definition,False,41,47,7,,,0,3,before_of_after_point;before_ipl_from_after_forward;before_ipl_from_after_backward,0,,1,src/ISSCutSemantics.v:709,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,qualified external root
before_of_after_point,Definition,False,49,54,6,,,0,5,before_ipl_from_after;point_semantics_before_of_after_preserved;before_of_after_point_time_stamp_preserved;before_ipl_from_after_forward;before_ipl_from_after_backward,2,set_ip_nth;before_parent_nth,4,src/ISSCutSemantics.v:616;src/ISSCutSemantics.v:617;src/ISSCutSemantics.v:709;src/ISSCutSemantics.v:1164,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,qualified external root
before_ipl_from_after,Definition,False,56,59,4,,,0,2,before_ipl_from_after_forward;before_ipl_from_after_backward,1,before_of_after_point,6,src/ISSCutSemantics.v:874;src/ISSCutSemantics.v:881;src/ISSCutSemantics.v:981;src/ISSCutSemantics.v:982;src/ISSCutSemantics.v:1029;src/ISSCutSemantics.v:1035,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,qualified external root
find_after_stmt_index,Fixpoint,False,61,76,16,,,0,5,find_after_stmt_index;after_of_before_point;point_semantics_after_of_before_preserved;after_of_before_point_time_stamp_preserved;find_after_stmt_index_sound,1,find_after_stmt_index,0,,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",unused before-to-after search route,abandoned/unfinished compatibility route,retire or isolate,"No repository caller; only one-way search soundness is proved, not completeness or a flatten-list correspondence.",outside external-root closure
after_of_before_point,Definition,False,78,89,12,,,0,3,after_ipl_from_before;point_semantics_after_of_before_preserved;after_of_before_point_time_stamp_preserved,2,set_ip_nth;find_after_stmt_index,0,,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",unused before-to-after search route,abandoned/unfinished compatibility route,retire or isolate,"No repository caller; only one-way search soundness is proved, not completeness or a flatten-list correspondence.",outside external-root closure
after_ipl_from_before,Definition,False,91,95,5,,,0,0,,1,after_of_before_point,0,,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",unused before-to-after search route,abandoned/unfinished compatibility route,retire or isolate,"No repository caller; only one-way search soundness is proved, not completeness or a flatten-list correspondence.",outside external-root closure
belongs_to_set_ip_nth_iff,Lemma,False,97,106,10,101,106,6,2,before_ipl_from_after_forward;before_ipl_from_after_backward,1,set_ip_nth,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,dependency of external root
instr_point_sema_set_ip_nth,Lemma,False,108,123,16,112,123,12,2,point_semantics_before_of_after_preserved;point_semantics_after_of_before_preserved,1,set_ip_nth,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 2, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,dependency of external root
point_semantics_before_of_after_preserved,Lemma,False,125,133,9,129,133,5,0,,2,before_of_after_point;instr_point_sema_set_ip_nth,1,src/ISSCutSemantics.v:1173,True,True,"{""apply"": 1, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,qualified external root
