section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Generation definitions and semantic composition,Definition,False,codegen_target_dim,48,50,3,codegen_target_dim,,,0,0,0,0,,1,codegen_correct,0,2,0,0,,26,False,internal-live
Generation definitions and semantic composition,Definition,False,complete_generate,52,54,3,complete_generate,,,0,0,0,0,,1,complete_generate_preserve_sem,0,2,0,0,,0,False,internal-live
Generation definitions and semantic composition,Theorem,False,complete_generate_preserve_sem,56,70,15,complete_generate_preserve_sem,64,70,7,5,5,1,complete_generate,0,,0,0,0,0,,0,False,zero-reference
Generation definitions and semantic composition,Definition,False,complete_generate_lex_many,75,78,4,complete_generate_lex_many,,,0,0,0,0,,2,complete_generate_lex_many_preserve_sem;complete_generate_many,0,3,0,0,,0,True,internal-live
Generation definitions and semantic composition,Theorem,False,complete_generate_lex_many_preserve_sem,80,95,16,complete_generate_lex_many_preserve_sem,88,95,8,6,6,1,complete_generate_lex_many,1,complete_generate_many_preserve_sem,0,1,0,0,,0,True,internal-live
Schedule-elimination wrapper,Definition,False,complete_generate_many,97,100,4,complete_generate_many,,,0,0,0,1,complete_generate_lex_many,2,codegen;complete_generate_many_preserve_sem,0,3,0,1,src/PrepareCodegen.v,0,True,confirmed-external
Schedule-elimination wrapper,Theorem,False,complete_generate_many_preserve_sem,102,139,38,complete_generate_many_preserve_sem,113,139,27,25,25,2,complete_generate_lex_many_preserve_sem;complete_generate_many,1,codegen_correct,0,1,0,1,src/PrepareCodegen.v,0,True,confirmed-external
Whole-program codegen,Definition,False,codegen,141,145,5,codegen,,,0,0,0,1,complete_generate_many,2,codegen_correct;codegen_preserve_wf,0,3,0,2,src/PrepareCodegen.v,0,True,confirmed-external
Well-formedness helpers,Lemma,False,wf_pprog_implies_pis_have_dimension,147,167,21,wf_pprog_implies_pis_have_dimension,152,167,16,14,14,0,,1,codegen_correct,0,1,0,0,,0,False,internal-live
Well-formedness helpers,Lemma,False,wf_pprog_implies_pis_sched_valid_dimension,169,188,20,wf_pprog_implies_pis_sched_valid_dimension,175,188,14,12,12,0,,1,codegen_correct,0,1,0,0,,0,False,internal-live
Well-formedness helpers,Lemma,False,wf_pprog_implies_pis_witness_valid_dimension,190,212,23,wf_pprog_implies_pis_witness_valid_dimension,197,212,16,14,14,0,,0,,0,0,0,0,,0,False,zero-reference
Well-formedness helpers,Lemma,False,codegen_preserve_wf,215,223,9,codegen_preserve_wf,220,223,4,2,2,1,codegen,0,,0,0,0,0,,0,False,zero-reference
Whole-program correctness,Theorem,False,codegen_correct,226,313,88,codegen_correct,239,313,75,73,73,5,codegen;codegen_target_dim;complete_generate_many_preserve_sem;wf_pprog_implies_pis_have_dimension;wf_pprog_implies_pis_sched_valid_dimension,0,,0,0,0,0,,0,False,zero-reference
