kind,name,qualified_name,module,section,start_line,end_line,span,proof_start,proof_end,proof_span,proof_body_nonblank,terminal,internal_callees,internal_callers,external_use_count,external_locations,reachable_from_external_entry,responsibility,theoretical_complexity,readability_issue,priority,rewrite_risk,api_constraint
"Definition","scheduler","TilingValidator.TilingPolIRs.scheduler","TilingValidator.TilingPolIRs","POLIRS adapter stubs","39","39","1","","","0","0","definition","","affine_scheduler","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","affine_scheduler","TilingValidator.TilingPolIRs.affine_scheduler","TilingValidator.TilingPolIRs","POLIRS adapter stubs","40","40","1","","","0","0","definition","scheduler","","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","export_for_phase_scheduler","TilingValidator.TilingPolIRs.export_for_phase_scheduler","TilingValidator.TilingPolIRs","POLIRS adapter stubs","41","41","1","","","0","0","definition","","export_for_pluto_phase_pipeline;to_phase_openscop","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","export_for_pluto_phase_pipeline","TilingValidator.TilingPolIRs.export_for_pluto_phase_pipeline","TilingValidator.TilingPolIRs","POLIRS adapter stubs","42","42","1","","","0","0","definition","export_for_phase_scheduler","","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","to_phase_openscop","TilingValidator.TilingPolIRs.to_phase_openscop","TilingValidator.TilingPolIRs","POLIRS adapter stubs","43","43","1","","","0","0","definition","export_for_phase_scheduler","","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","phase_scop_scheduler","TilingValidator.TilingPolIRs.phase_scop_scheduler","TilingValidator.TilingPolIRs","POLIRS adapter stubs","44","45","2","","","0","0","definition","","run_pluto_phase_pipeline","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","run_pluto_phase_pipeline","TilingValidator.TilingPolIRs.run_pluto_phase_pipeline","TilingValidator.TilingPolIRs","POLIRS adapter stubs","46","46","1","","","0","0","definition","phase_scop_scheduler","","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","identity_tiling_phase_scop_scheduler","TilingValidator.TilingPolIRs.identity_tiling_phase_scop_scheduler","TilingValidator.TilingPolIRs","POLIRS adapter stubs","47","49","3","","","0","0","definition","","run_pluto_identity_tiling_pipeline","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","run_pluto_identity_tiling_pipeline","TilingValidator.TilingPolIRs.run_pluto_identity_tiling_pipeline","TilingValidator.TilingPolIRs","POLIRS adapter stubs","50","51","2","","","0","0","definition","identity_tiling_phase_scop_scheduler","","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
"Definition","phase_scop_scheduler_with_iss","TilingValidator.TilingPolIRs.phase_scop_scheduler_with_iss","TilingValidator.TilingPolIRs","POLIRS adapter stubs","52","54","3","","","0","0","definition","","run_pluto_phase_pipeline_with_iss","0","","no","Satisfy the broad POLIRS signature so AffineValidator and PrepareCodegen can be instantiated over the internal tiling PolyLang.","none","Intentional inert stub; architectural noise caused by over-broad downstream functor signatures.","P2","high","Module signature field; do not change locally unless functor interfaces are narrowed project-wide."
