name,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_qualified_count,external_qualified_uses,public_root,public_closure,tactics
lift_constraint_after_env,Definition,False,35,37,3,,,0,6,lift_affine_function_after_env;lifted_base_domain_after_env;lift_constraint_after_env_satisfies;lifted_base_domain_after_env_in_poly;tiling_rel_pinstr_structure_source_domain_lifted;tiling_rel_pinstr_structure_source_domain_complete,0,,4,src/TilingBandMixedSecondValidator.v:228;src/TilingBandScheduleValidator.v:4023;src/TilingBandScheduleValidator.v:4027;src/TilingBandPhaseScalarValidator.v:554,True,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
lift_affine_function_after_env,Definition,False,39,41,3,,,0,4,pad_transformation_after_env;lift_access_after_env;lift_schedule_after_env;lift_affine_function_after_env_eval,1,lift_constraint_after_env,8,src/TilingBandMixedSecondValidator.v:226;src/TilingBandScheduleValidator.v:4019;src/TilingBandScheduleValidator.v:4164;src/TilingBandScheduleValidator.v:4422;src/TilingBandScheduleValidator.v:12754;src/TilingBandScheduleValidator.v:18503;src/TilingBandScheduleValidator.v:20589;src/TilingBandPhaseScalarValidator.v:552,True,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
identity_affine_row,Definition,False,43,45,3,,,0,1,identity_affine_rows_from,0,,7,src/TilingBandScheduleValidator.v:3410;src/TilingBandScheduleValidator.v:4759;src/TilingBandScheduleValidator.v:4763;src/TilingBandScheduleValidator.v:4807;src/TilingBandScheduleValidator.v:4810;src/TilingBandScheduleValidator.v:5024;src/TilingBandScheduleValidator.v:5027,True,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 2, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
identity_affine_rows_from,Fixpoint,False,47,54,8,,,0,2,identity_affine_rows_from;pad_transformation_after_env,2,identity_affine_row;identity_affine_rows_from,15,src/TilingBandScheduleValidator.v:243;src/TilingBandScheduleValidator.v:3453;src/TilingBandScheduleValidator.v:4397;src/TilingBandScheduleValidator.v:5015;src/TilingBandScheduleValidator.v:5022;src/TilingBandScheduleValidator.v:5025;src/TilingBandScheduleValidator.v:5028;src/TilingBandScheduleValidator.v:15249;src/TilingBandScheduleValidator.v:15277;src/TilingBandScheduleValidator.v:21204;src/TilingBandScheduleValidator.v:21549;src/TilingBandScheduleValidator.v:21574;src/TilingBandScheduleValidator.v:21638;src/TilingBandScheduleValidator.v:24277;src/TilingBandPhaseScalarValidator.v:626,True,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
pad_transformation_after_env,Definition,False,56,66,11,,,0,1,tiling_rel_pinstr_structure,2,lift_affine_function_after_env;identity_affine_rows_from,2,src/TilingBoolChecker.v:180;src/TilingBoolChecker.v:184,True,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
lift_access_after_env,Definition,False,68,71,4,,,0,2,lifted_accesses_after_env;lift_access_after_env_exact_cell,1,lift_affine_function_after_env,0,,False,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
lift_schedule_after_env,Definition,False,73,75,3,,,0,8,compose_tiling_pinstr_ext;retiled_old_pinstr;compose_tiling_instr_point_ext;tiling_rel_pinstr_structure_compiled_old_schedule_lifted;tiling_rel_pprog_structure_source_old_point_belongs_to_nth;tiling_rel_pprog_structure_source_before_point_has_retiled_old_preimage_nth;retiled_old_of_after_point;compose_tiling_instr_point_ext_from_after,1,lift_affine_function_after_env,77,src/TilingValidator.v:896;src/TilingBandMixedSecondValidator.v:217;src/TilingBandMixedSecondValidator.v:225;src/TilingBandMixedSecondValidator.v:247;src/TilingBandMixedSecondValidator.v:532;src/TilingBandMixedSecondValidator.v:537;src/TilingBandMixedSecondValidator.v:591;src/TilingBandMixedSecondValidator.v:784;src/TilingBandMixedSecondValidator.v:792;src/TilingBandMixedSecondValidator.v:1174;src/TilingBandMixedSecondValidator.v:1183;src/TilingBandMixedSecondValidator.v:1549;src/TilingBandMixedSecondValidator.v:1701;src/TilingBandMixedSecondValidator.v:1709;src/TilingBandMixedSecondValidator.v:1995;src/TilingBandMixedSecondValidator.v:2003;src/TilingBandMixedSecondValidator.v:2089;src/TilingBandMixedSecondValidator.v:2101;src/TilingBandMixedSecondValidator.v:2474;src/TilingBandMixedSecondValidator.v:2483;src/TilingBandScheduleValidator.v:233;src/TilingBandScheduleValidator.v:3420;src/TilingBandScheduleValidator.v:3443;src/TilingBandScheduleValidator.v:4016;src/TilingBandScheduleValidator.v:4019;src/TilingBandScheduleValidator.v:4161;src/TilingBandScheduleValidator.v:4164;src/TilingBandScheduleValidator.v:4415;src/TilingBandScheduleValidator.v:4422;src/TilingBandScheduleValidator.v:5086;src/TilingBandScheduleValidator.v:5112;src/TilingBandScheduleValidator.v:5177;src/TilingBandScheduleValidator.v:5202;src/TilingBandScheduleValidator.v:5258;src/TilingBandScheduleValidator.v:5283;src/TilingBandScheduleValidator.v:11488;src/TilingBandScheduleValidator.v:11500;src/TilingBandScheduleValidator.v:12309;src/TilingBandScheduleValidator.v:12318;src/TilingBandScheduleValidator.v:12750;src/TilingBandScheduleValidator.v:12753;src/TilingBandScheduleValidator.v:15236;src/TilingBandScheduleValidator.v:15251;src/TilingBandScheduleValidator.v:15267;src/TilingBandScheduleValidator.v:15280;src/TilingBandScheduleValidator.v:17453;src/TilingBandScheduleValidator.v:17975;src/TilingBandScheduleValidator.v:17989;src/TilingBandScheduleValidator.v:18502;src/TilingBandScheduleValidator.v:19800;src/TilingBandScheduleValidator.v:19814;src/TilingBandScheduleValidator.v:20588;src/TilingBandScheduleValidator.v:21189;src/TilingBandScheduleValidator.v:21528;src/TilingBandScheduleValidator.v:21589;src/TilingBandScheduleValidator.v:23401;src/TilingBandScheduleValidator.v:23415;src/TilingBandScheduleValidator.v:24270;src/TilingBandScheduleValidator.v:26924;src/TilingBandScheduleValidator.v:26938;src/TilingBandScheduleValidator.v:27873;src/TilingBandScheduleValidator.v:27887;src/TilingBandPhaseScalarValidator.v:117;src/TilingBandPhaseScalarValidator.v:161;src/TilingBandPhaseScalarValidator.v:359;src/TilingBandPhaseScalarValidator.v:543;src/TilingBandPhaseScalarValidator.v:551;src/TilingBandPhaseScalarValidator.v:573;src/TilingBandPhaseScalarValidator.v:592;src/TilingBandPhaseScalarValidator.v:602;src/TilingBandPhaseScalarValidator.v:672;src/TilingBandPhaseScalarValidator.v:703;src/TilingBandPhaseScalarValidator.v:722;src/TilingBandPhaseScalarValidator.v:1363;src/TilingBandPhaseScalarValidator.v:1372;src/TilingCanonicalScheduleValidator.v:32;src/TilingCanonicalScheduleValidator.v:62,True,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
pinstr_tiling_witness,Record,False,77,81,5,,,0,15,wf_pinstr_tiling_witness;eval_pinstr_tiling_index_with_env;lifted_base_domain_after_env;lifted_accesses_after_env;tiling_rel_pinstr_structure;tiling_rel_pinstr_structure_source;source_view_of_tiled_pinstr;source_view_of_tiled_pinstrs;tiling_rel_pinstr_list;tiling_rel_pinstr_list_source;tiling_rel_pprog_structure;tiling_rel_pprog_structure_source;witness_matches_compiled_link_domain;compiled_pinstr_tiling_witness;before_ipl_from_retiled_old_backward_source,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
wf_pinstr_tiling_witness,Definition,False,83,84,2,,,0,12,wf_compiled_pinstr_tiling_witness;tiling_rel_pinstr_structure_domain_lifted_compiled;tiling_rel_pinstr_structure_source_domain_complete;tiling_rel_pinstr_structure_source_transformation_lifted;tiling_rel_pinstr_structure_source_instr_semantics_lifted_iff;tiling_rel_pinstr_structure_waccess_lifted;tiling_rel_pinstr_structure_raccess_lifted;tiling_rel_pinstr_structure_source_before_of_retiled_old_point_injective;tiling_rel_pinstr_structure_source_before_of_retiled_old_sched_le_iff;HdRel_before_of_retiled_old_preserved_source;before_of_retiled_old_sorted_sched_preserved_source;tiling_rel_pinstr_structure_source_before_of_retiled_old_time_stamp,1,pinstr_tiling_witness,0,,False,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
wf_statement_tiling_witness_with_param_dim,Definition,False,86,92,7,,,0,39,compile_link_domain_after_env_sound;compile_link_domain_after_env_complete;tiling_rel_pinstr_structure_domain_lifted_compiled;tiling_rel_pinstr_structure_compiled_domain_lifted;tiling_rel_pinstr_structure_source_domain_lifted;tiling_rel_pinstr_structure_compiled_domain_complete;tiling_rel_pinstr_structure_source_domain_complete;tiling_rel_pinstr_structure_compiled_index_complete;tiling_rel_pinstr_structure_compiled_domain_iff;tiling_rel_pprog_structure_compiled_domain_iff_nth;tiling_rel_pprog_structure_compiled_belongs_to_ext_nth;tiling_rel_pprog_structure_compiled_before_of_retiled_old_point_belongs_to_nth;tiling_rel_pprog_structure_source_before_of_retiled_old_point_belongs_to_nth;tiling_rel_pinstr_structure_source_before_of_retiled_old_point_injective;before_ipl_from_retiled_old_forward_source;before_ipl_from_retiled_old_forward;tiling_rel_pinstr_structure_compiled_before_of_retiled_old_point_injective;before_ipl_from_retiled_old_nodup;tiling_rel_pprog_structure_source_before_of_retiled_old_instr_semantics_iff_nth;tiling_rel_pprog_structure_compiled_old_point_belongs_to_nth;tiling_rel_pprog_structure_compiled_before_point_has_retiled_old_preimage_nth;before_ipl_from_retiled_old_backward;tiling_rel_pprog_structure_source_old_point_belongs_to_nth;tiling_rel_pprog_structure_source_before_point_has_retiled_old_preimage_nth;before_ipl_from_retiled_old_backward_source;flatten_instr_nth_retiled_old_implies_before_flatten_instr_nth_exists;flatten_instr_nth_retiled_old_implies_before_flatten_instr_nth_exists_perm;tiling_rel_pprog_structure_compiled_new_point_belongs_to_nth;flatten_instrs_retiled_old_implies_before_exists_perm;flatten_instrs_retiled_old_member_nth_data;before_ipl_from_retiled_old_nodup_source;flatten_instr_nth_retiled_old_implies_before_flatten_instr_nth_exists_source;flatten_instr_nth_retiled_old_implies_before_flatten_instr_nth_exists_perm_source;flatten_instrs_retiled_old_member_nth_data_source;flatten_instrs_retiled_old_member_instr_semantics_iff_source;flatten_instrs_retiled_old_member_time_stamp_preserved_source;flatten_instrs_retiled_old_implies_before_exists_perm_source;tiling_retiled_old_to_before_poly_correct_with_env_len_source;tiling_retiled_old_to_before_instance_correct_source,0,,45,src/TilingValidator.v:955;src/TilingBoolChecker.v:143;src/TilingBoolChecker.v:147;src/TilingBoolChecker.v:233;src/TilingBoolChecker.v:277;src/TilingBoolChecker.v:346;src/TilingBoolChecker.v:380;src/TilingBoolChecker.v:436;src/TilingBoolChecker.v:481;src/TilingBandMixedSecondValidator.v:632;src/TilingBandMixedSecondValidator.v:664;src/TilingBandMixedSecondValidator.v:925;src/TilingBandMixedSecondValidator.v:967;src/TilingBandMixedSecondValidator.v:1577;src/TilingBandMixedSecondValidator.v:1609;src/TilingBandMixedSecondValidator.v:1850;src/TilingBandMixedSecondValidator.v:1885;src/TilingBandMixedSecondValidator.v:2165;src/TilingBandMixedSecondValidator.v:2238;src/TilingBandMixedSecondValidator.v:2280;src/TilingBandScheduleValidator.v:8695;src/TilingBandScheduleValidator.v:8712;src/TilingBandScheduleValidator.v:8878;src/TilingBandScheduleValidator.v:10739;src/TilingBandScheduleValidator.v:10808;src/TilingBandScheduleValidator.v:11071;src/TilingBandScheduleValidator.v:11143;src/TilingBandScheduleValidator.v:11187;src/TilingBandScheduleValidator.v:11928;src/TilingBandScheduleValidator.v:12019;src/TilingBandScheduleValidator.v:12054;src/TilingBandScheduleValidator.v:12657;src/TilingBandScheduleValidator.v:12709;src/TilingBandScheduleValidator.v:12808;src/TilingBandScheduleValidator.v:12972;src/TilingBandScheduleValidator.v:13337;src/TilingBandScheduleValidator.v:15695;src/TilingBandScheduleValidator.v:17551;src/TilingBandScheduleValidator.v:19115;src/TilingBandScheduleValidator.v:19180;src/TilingBandScheduleValidator.v:19327;src/TilingBandScheduleValidator.v:23153;src/TilingBandScheduleValidator.v:26464;src/TilingBandScheduleValidator.v:27391;src/TilingBandPhaseScalarValidator.v:1266,True,True,"{""apply"": 0, ""assert"": 0, ""destruct"": 0, ""eapply"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}"
