kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,checker_root,reachable_from_checker_root,semantics_root,reachable_from_semantics_root,validator_root,reachable_from_validator_root,family,owner,recommended_refactor,priority,refactor_risk,api_constraint
Definition,Public,ident,ISSRefinement.ident,ISSRefinement,,,21,31,11,,,,0,0,0,,0,,0,,no,no,no,no,no,no,no,no,Repository-unreferenced exported utility,Compatibility/public API,No qualified repository use and no path from a public external root. Preserve unless an intentional API break is approved.,P1 dead-route review,low,Exported but repository-unreferenced; preserve unless an intentional breaking change is approved.
Definition,Public,payload_eq_except_domain,ISSRefinement.payload_eq_except_domain,ISSRefinement,,,32,43,12,,,,0,0,0,,6,payload_eq_except_domain_refl;payload_eq_except_domainb_correct;stmt_parent_payload_relation_children_payload;stmt_partition_refinement;stmt_payload_matches_witness;stmt_payload_matches_witness_parent,9,src/ISSSemantics.v:176:Refine.payload_eq_except_domain;src/ISSSemantics.v:180:Refine.payload_eq_except_domain;src/ISSSemantics.v:186:Refine.payload_eq_except_domain;src/ISSSemantics.v:192:Refine.payload_eq_except_domain;src/ISSSemantics.v:213:Refine.payload_eq_except_domain;src/ISSSemantics.v:219:Refine.payload_eq_except_domain;src/ISSSemantics.v:241:Refine.payload_eq_except_domain;src/ISSSemantics.v:519:Refine.payload_eq_except_domain;src/ISSSemantics.v:583:Refine.payload_eq_except_domain,yes,yes,no,yes,yes,yes,no,yes,Payload relation,ISS declarative payload equality and boolean reflection,Keep the relation here; replace goal-shape boolean decomposition with explicit named conversions.,P0 goal-shape cleanup,low,Direct qualified repository use; preserve name and type.
Definition,Public,payload_eq_except_domainb,ISSRefinement.payload_eq_except_domainb,ISSRefinement,,,44,64,21,,,,0,0,0,,1,payload_eq_except_domainb_correct,1,src/ISSBoolChecker.v:107:Refine.payload_eq_except_domainb,yes,yes,yes,yes,no,no,no,no,Payload relation,ISS declarative payload equality and boolean reflection,Keep the relation here; replace goal-shape boolean decomposition with explicit named conversions.,P0 goal-shape cleanup,low,Direct qualified repository use; preserve name and type.
Lemma,Public,payload_eq_except_domainb_correct,ISSRefinement.payload_eq_except_domainb_correct,ISSRefinement,,,65,88,25,69,88,Qed,20,18,2,payload_eq_except_domain;payload_eq_except_domainb,0,,1,src/ISSBoolChecker.v:122:Refine.payload_eq_except_domainb_correct,yes,yes,yes,yes,no,no,no,no,Payload relation,ISS declarative payload equality and boolean reflection,Keep the relation here; replace goal-shape boolean decomposition with explicit named conversions.,P0 goal-shape cleanup,low,Direct qualified repository use; preserve name and type.
Lemma,Public,payload_eq_except_domain_refl,ISSRefinement.payload_eq_except_domain_refl,ISSRefinement,,,90,97,11,93,97,Qed,5,3,1,payload_eq_except_domain,1,stmt_partition_refinement_singleton,0,,no,no,no,no,no,no,no,no,Repository-unreferenced exported utility,Compatibility/public API,No qualified repository use and no path from a public external root. Preserve unless an intentional API break is approved.,P1 dead-route review,low,Exported but repository-unreferenced; preserve unless an intentional breaking change is approved.
Definition,Public,iss_pairs,ISSRefinement.iss_pairs,ISSRefinement,,,101,106,6,,,,0,0,0,,3,child_pairs_for_parent;stmt_domain_cut_relation_all_subset;stmt_parent_payload_relation_children_payload,7,src/ISSCutSemantics.v:565:Refine.iss_pairs;src/ISSCutSemantics.v:810:Refine.iss_pairs;src/ISSCutSemantics.v:816:Refine.iss_pairs;src/ISSCutSemantics.v:830:Refine.iss_pairs;src/ISSCutSemantics.v:856:Refine.iss_pairs;src/ISSSemantics.v:344:Refine.iss_pairs;src/ISSSemantics.v:411:Refine.iss_pairs,yes,yes,no,yes,yes,yes,no,yes,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Direct qualified repository use; preserve name and type.
Definition,Public,child_pairs_for_parent,ISSRefinement.child_pairs_for_parent,ISSRefinement,,,107,116,10,,,,0,0,1,iss_pairs,6,child_signs_for_parent;children_for_parent;parent_sign_partition_complete_has_child;stmt_domain_cut_relation_all_subset;stmt_domain_cut_relation_disjoint;stmt_parent_payload_relation_children_payload,10,src/ISSCutSemantics.v:366:Refine.child_pairs_for_parent;src/ISSCutSemantics.v:378:Refine.child_pairs_for_parent;src/ISSCutSemantics.v:379:Refine.child_pairs_for_parent;src/ISSCutSemantics.v:562:Refine.child_pairs_for_parent;src/ISSCutSemantics.v:565:Refine.child_pairs_for_parent;src/ISSCutSemantics.v:783:Refine.child_pairs_for_parent;src/ISSCutSemantics.v:790:Refine.child_pairs_for_parent;src/ISSCutSemantics.v:837:Refine.child_pairs_for_parent;src/ISSSemantics.v:344:Refine.child_pairs_for_parent;src/ISSSemantics.v:410:Refine.child_pairs_for_parent,yes,yes,no,yes,yes,yes,no,yes,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Direct qualified repository use; preserve name and type.
Definition,Public,children_for_parent,ISSRefinement.children_for_parent,ISSRefinement,,,117,123,7,,,,0,0,1,child_pairs_for_parent,7,domain_partition_refinement;domain_partition_refinement_intro;parent_partition_properties;stmt_domain_cut_relation_all_subset;stmt_domain_cut_relation_cover;stmt_domain_cut_relation_disjoint;stmt_parent_payload_relation_children_payload,6,src/ISSSemantics.v:270:Refine.children_for_parent;src/ISSSemantics.v:340:Refine.children_for_parent;src/ISSSemantics.v:344:Refine.children_for_parent;src/ISSSemantics.v:403:Refine.children_for_parent;src/ISSSemantics.v:410:Refine.children_for_parent;src/ISSSemantics.v:504:Refine.children_for_parent,yes,yes,no,no,yes,yes,no,no,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Direct qualified repository use; preserve name and type.
Definition,Public,point_in_pinstr_domain,ISSRefinement.point_in_pinstr_domain,ISSRefinement,,,124,128,5,,,,0,0,0,,6,domains_all_subset;domains_cover;domains_pairwise_disjoint;stmt_domain_cut_relation_all_subset;stmt_domain_cut_relation_cover;stmt_domain_matches_cuts_in_domain_iff,7,src/ISSSemantics.v:187:Refine.point_in_pinstr_domain;src/ISSSemantics.v:214:Refine.point_in_pinstr_domain;src/ISSSemantics.v:253:Refine.point_in_pinstr_domain;src/ISSSemantics.v:254:Refine.point_in_pinstr_domain;src/ISSSemantics.v:365:Refine.point_in_pinstr_domain;src/ISSSemantics.v:383:Refine.point_in_pinstr_domain;src/ISSSemantics.v:524:Refine.point_in_pinstr_domain,yes,yes,no,no,yes,yes,no,no,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Direct qualified repository use; preserve name and type.
Definition,Public,point_satisfies_iss_cut,ISSRefinement.point_satisfies_iss_cut,ISSRefinement,,,129,138,10,,,,0,0,0,,9,iss_piece_constraints_correct;iss_sign_for_point_satisfies;iss_signed_cut_constraint_correct;iss_signs_for_point_satisfy;point_satisfies_iss_cut_functional;point_satisfies_iss_cuts_functional;stmt_domain_cut_relation_cover;stmt_domain_cut_relation_disjoint;stmt_domain_matches_cuts_in_domain_iff,1,src/ISSCutSemantics.v:547:Refine.point_satisfies_iss_cut,yes,yes,no,no,yes,yes,no,no,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Direct qualified repository use; preserve name and type.
