stage,symbol,file,lines,establishes,consumed_by_next_stage
validator_property,parallel_safe_dim,src/ParallelValidator.v,228-235,"all cross-current-dimension instances commute",yes_inside_validator_only
validator_certificate,parallel_cert_sound,src/ParallelValidator.v,237-239,"certificate dimension has parallel_safe_dim",no
validator_endpoint,checked_parallelize_current_sound,src/ParallelValidator.v,1203-1220,"successful checker returns sound certificate",no
single_driver,checked_parallel_current_annotated_codegen,driver/ParallelPolOpt.v,29-43,"runs validator and copies certified_dim",dimension_only
multi_driver,collect_parallel_current_codegen_certs,driver/ParallelPolOpt.v,79-95,"filters accepted dimensions",dimension_only
target_tagging,tag_loop_stmt_at,src/ParallelCodegen.v,96-112,"labels generated loops by structural depth",yes
claimed_mapping,codegen_matches_current_dims,src/ParallelCodegen.v,397-401,"only tagged_from_top; pp is unused",no
annotation,annotated_codegen,src/ParallelCodegen.v,403-415,"marks structural depth certified_dim as ParMode",yes
target_check,all_es_safeb,src/ParallelCodegen.v,462-513,"instruction arguments have affine trace representation",yes
arbitrary_interleaving,interleave_family,polygen/ParallelLoop.v,222-230,"any merge preserving per-iteration order",no
family_commutation,family_ordered_permutable,polygen/ParallelLoop.v,232-237,"all earlier/later iteration instruction pairs commute",no
safe_interleaving,interleave_safe,polygen/ParallelLoop.v,239-248,"each performed inversion has Permutable evidence",yes_from_semantics
parallel_semantics,PTLoopPar,polygen/ParallelLoop.v,273-277,"admits only interleave_safe traces; body uses seq_trace",yes
semantic_refinement,interleave_safe_refines_concat,polygen/ParallelLoop.v,1002-1076,"already-safe interleaving refines serial concat",yes
codegen_endpoint,checked_annotated_codegen_correct_general,src/ParallelCodegen.v,1132-1147,"derivable safe target execution refines polyhedral semantics",yes
driver_endpoint,checked_parallel_current_annotated_codegen_correct,driver/ParallelPolOpt.v,1128-1144,"same conditional target-semantics contract",yes
compiler_endpoint,compile_verified_correct,driver/VerifiedParallelCompilerConfig.v,372-415,"ParallelLoop.semantics execution refines source LoopIR",yes
extracted_endpoint,extracted_parallel_compile_verified_correct,driver/ExtractedPipelineCorrect.v,144-248,"extracted wrapper preserves same contract",no_backend_bridge
printer,lines_of_parallel_stmt,syntax/SLoopMain.ml,179-197,"prints ParMode as parallel for",no_verified_operational_semantics
