section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Annotated loop syntax and modes,Definition,False,ident,23,23,1,ident,,,0,0,0,0,,1,t,1,3,0,5,src/PrepareCodegen.v;src/TilingBandScheduleValidator.v;src/TilingRelation.v,865,True,confirmed-external
Annotated loop syntax and modes,Definition,False,instr,24,24,1,instr,,,0,0,0,1,t,1,stmt,0,1,0,0,,74,True,internal-live
Annotated loop syntax and modes,Definition,False,mem,25,25,1,mem,,,0,0,0,1,t,5,base_loop_semantics_aux_implies_loop_semantics;base_loop_semantics_aux_list_implies_iter;iter_semantics_preserve_nonalias;loop_semantics;semantics,0,11,0,0,,580,True,internal-live
Annotated loop syntax and modes,Definition,False,expr,26,26,1,expr,,,0,0,0,0,,1,stmt,1,4,0,2,src/ParallelCodegen.v,420,True,confirmed-external
Annotated loop syntax and modes,Definition,False,test,27,27,1,test,,,0,0,0,0,,2,base_loop_semantics_preserve_nonalias_mutual;stmt,1,3,0,2,src/ParallelCodegen.v,155,True,confirmed-external
Annotated loop syntax and modes,Definition,False,InstrPoint,28,28,1,InstrPoint,,,0,0,0,0,,5,family_ordered_permutable;interleave_family;interleave_safe;par_trace;seq_trace,1,10,0,181,polygen/Loop.v;src/AffineValidator.v;src/Extractor.v;src/ISSCutSemantics.v;src/ISSSemantics.v;src/LoopJamTrace.v;src/ParallelValidator.v;src/PolyLang.v;src/PrepareCodegen.v;src/TilingRelation.v;src/TilingValidator.v,43,True,confirmed-external
Annotated loop syntax and modes,Inductive,False,loop_mode,30,33,4,loop_mode,,,0,0,0,3,ParMode;SeqMode;VecMode,4,ParMode;SeqMode;VecMode;stmt,0,1,0,0,,0,True,internal-live
Annotated loop syntax and modes,Constructor,False,SeqMode,31,33,3,loop_mode,,,0,0,0,4,ParMode;SeqMode;VecMode;loop_mode,7,ParMode;VecMode;loop_mode;of_loop_stmt;par_trace;parallelize_dim_stmt;vectorize_dim_stmt,0,6,0,1,src/ParallelCodegen.v,0,True,confirmed-external
Annotated loop syntax and modes,Constructor,False,ParMode,32,33,2,loop_mode,,,0,0,0,4,ParMode;SeqMode;VecMode;loop_mode,5,SeqMode;VecMode;loop_mode;par_trace;parallelize_dim_stmt,0,2,0,0,,0,True,internal-live
Annotated loop syntax and modes,Constructor,False,VecMode,33,33,1,loop_mode,,,0,0,0,4,ParMode;SeqMode;VecMode;loop_mode,5,ParMode;SeqMode;loop_mode;par_trace;vectorize_dim_stmt,0,2,0,0,,0,True,internal-live
Annotated loop syntax and modes,Inductive,False,stmt,35,42,8,stmt,,,0,0,0,11,Guard;Instr;Loop;SCons;SNil;Seq;expr;instr;loop_mode;stmt_list;test,26,Guard;Instr;Loop;SCons;SNil;Seq;all_origin_none_stmt;base_stmt_mutind;base_stmt_preserve_nonalias_goal;erase_of_loop_stmt_eq_rec;erase_parallelize_dim_stmt_eq_rec;erase_stmt;erase_vectorize_dim_stmt_eq_rec;has_loopb_stmt;has_vector_modeb_stmt;loop_semantics;of_loop_stmt;of_loop_stmt_all_origin_none_rec;par_trace;parallelize_dim_stmt;seq_trace;stmt_list;t;trace_safe_stmt;vector_modes_innermostb_stmt;vectorize_dim_stmt,7,30,0,8,src/ParallelCodegen.v,422,True,confirmed-external
Annotated loop syntax and modes,Constructor,False,Loop,36,42,7,stmt,,,0,0,0,12,Guard;Instr;Loop;SCons;SNil;Seq;expr;instr;loop_mode;stmt;stmt_list;test,15,Guard;Instr;SCons;SNil;Seq;all_origin_none_stmt;erase_stmt;of_loop_stmt;par_trace;parallelize_dim_stmt;seq_trace;stmt;stmt_list;trace_safe_stmt;vectorize_dim_stmt,0,20,2,1,src/ParallelCodegen.v,2346,True,confirmed-external
Annotated loop syntax and modes,Constructor,False,Instr,37,42,6,stmt,,,0,0,0,12,Guard;Instr;Loop;SCons;SNil;Seq;expr;instr;loop_mode;stmt;stmt_list;test,39,Guard;Loop;SCons;SNil;Seq;all_origin_none_stmt;base_loop_semantics_aux_implies_loop_semantics;base_loop_semantics_aux_list_implies_iter;base_loop_semantics_preserve_nonalias;base_loop_semantics_preserve_nonalias_mutual;base_stmt_preserve_nonalias_goal;base_stmts_preserve_nonalias_goal;erase_stmt;instr_point_list_semantics_app_inv;instr_point_list_semantics_nil_inv;instr_point_list_semantics_singleton_inv;instr_point_list_semantics_swap_adj;instr_point_sema_preserve_nonalias;instr_point_sema_stable_under_state_eq;interleave_safe_refines_concat;iter_semantics_preserve_nonalias;loop_semantics_refines_erased;move_back_permutable;move_front_permutable;of_loop_stmt;par_trace;par_trace_forall2_refines_erased;par_trace_refines_erased;par_trace_refines_erased_stmt;parallelize_dim_stmt;semantics_refines_erased;seq_trace;seq_trace_forall2_refines_erased;seq_trace_refines_erased;seq_trace_refines_erased_stmt;stmt;stmt_list;trace_safe_stmt;vectorize_dim_stmt,0,99,1,1,src/ParallelCodegen.v,809,True,confirmed-external
