kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,proof_group,shared_proof_owner,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,route_root,reachable_from_route_root,correctness_root,reachable_from_correctness_root,config_root,reachable_from_config_root,loopjam_root,reachable_from_loopjam_root,family,responsibility,theory_complexity,duplication_or_brittleness,recommended_refactor,priority,refactor_risk,api_constraint
Fixpoint,Public,tag_expr,ParallelCodegen.tag_expr,ParallelCodegen,,,tag_expr,yes,29,40,12,,,,0,0,0,,5,erase_tag_expr_eq;map_erase_tag_expr_eq;tag_loop_stmt_at;tag_loop_stmts_at;tag_test,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,tag_test,ParallelCodegen.tag_test,ParallelCodegen,,,tag_test,yes,41,50,10,,,,0,0,1,tag_expr,3,erase_tag_test_eq;tag_loop_stmt_at;tag_loop_stmts_at,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,erase_expr,ParallelCodegen.erase_expr,ParallelCodegen,,,erase_expr,yes,51,62,12,,,,0,0,0,,7,erase_expr_eval_eq;erase_expr_list_map_eval_eq;erase_tag_expr_eq;erase_test;erase_to_loop_stmt;erase_to_loop_stmts;map_erase_tag_expr_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,erase_test,ParallelCodegen.erase_test,ParallelCodegen,,,erase_test,yes,63,72,10,,,,0,0,1,erase_expr,4,erase_tag_test_eq;erase_test_eval_eq;erase_to_loop_stmt;erase_to_loop_stmts,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_tag_expr_eq,ParallelCodegen.erase_tag_expr_eq,ParallelCodegen,,,erase_tag_expr_eq,yes,73,79,7,76,78,Qed,3,1,2,erase_expr;tag_expr,4,erase_tag_loop_stmt_at_eq;erase_tag_loop_stmts_at_eq;erase_tag_test_eq;map_erase_tag_expr_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_tag_test_eq,ParallelCodegen.erase_tag_test_eq,ParallelCodegen,,,erase_tag_test_eq,yes,80,86,7,83,85,Qed,3,1,3,erase_tag_expr_eq;erase_test;tag_test,2,erase_tag_loop_stmt_at_eq;erase_tag_loop_stmts_at_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,map_erase_tag_expr_eq,ParallelCodegen.map_erase_tag_expr_eq,ParallelCodegen,,,map_erase_tag_expr_eq,yes,87,95,9,90,94,Qed,5,3,3,erase_expr;erase_tag_expr_eq;tag_expr,2,erase_tag_loop_stmt_at_eq;erase_tag_loop_stmts_at_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,tag_loop_stmt_at,ParallelCodegen.tag_loop_stmt_at,ParallelCodegen,,,tag_loop_stmt_at,yes,96,108,13,98,107,Defined,10,8,3,tag_expr;tag_loop_stmts_at;tag_test,6,erase_tag_loop_stmt_at_eq;erase_tag_loop_stmts_at_eq;tag_loop;tag_loop_stmt_tagged_from_depth;tag_loop_stmts_at;tag_loop_stmts_tagged_from_depth,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
with-Fixpoint,Public,tag_loop_stmts_at,ParallelCodegen.tag_loop_stmts_at,ParallelCodegen,,tag_loop_stmt_at,tag_loop_stmt_at,no,97,108,12,98,107,Defined,10,8,3,tag_expr;tag_loop_stmt_at;tag_test,5,erase_tag_loop_stmt_at_eq;erase_tag_loop_stmts_at_eq;tag_loop_stmt_at;tag_loop_stmt_tagged_from_depth;tag_loop_stmts_tagged_from_depth,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,tag_loop,ParallelCodegen.tag_loop,ParallelCodegen,,,tag_loop,yes,109,113,5,,,,0,0,1,tag_loop_stmt_at,3,erase_tag_loop_eq;tagged_prepared_codegen;tagged_prepared_codegen_raw,10,syntax/SVerifiedParallelCompilerConfig.v:127:ParallelCodegenCore.tag_loop;syntax/SParallelPolOpt.v:689:ParallelCodegenCore.tag_loop;driver/ExtractedPipelineCorrect.v:98:ParallelCodegenCore.tag_loop;driver/ExtractedPipelineCorrect.v:103:ParallelCodegenCore.tag_loop;driver/ExtractedPipelineCorrect.v:107:ParallelCodegenCore.tag_loop;driver/VerifiedParallelCompilerConfig.v:145:ParallelCodegenCore.tag_loop;driver/VerifiedParallelCompilerConfig.v:259:ParallelCodegenCore.tag_loop;driver/VerifiedParallelCompilerConfig.v:264:ParallelCodegenCore.tag_loop;driver/VerifiedParallelCompilerConfig.v:268:ParallelCodegenCore.tag_loop;driver/ParallelPolOpt.v:676:ParallelCodegenCore.tag_loop,yes,yes,yes,yes,yes,yes,yes,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
