kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,config_root,reachable_from_config_root,layer,responsibility,hidden_structure,recommended_refactor,priority,refactor_risk,api_constraint
Lemma,Public,reject_tiling_no_return,ParallelPolOptCorrect.reject_tiling_no_return,ParallelPolOptCorrect,,,38,47,11,40,47,Qed,8,6,0,,1,reject_tiling_contradiction,0,,no,yes,no,yes,Failure elimination,Driver-local impure control-flow fact,low,Keep the no-return lemmas; mark the two short Ltac wrappers Local only if API compatibility permits. Otherwise preserve them.,retain,low,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,reject_post_tiling_affine_no_return,ParallelPolOptCorrect.reject_post_tiling_affine_no_return,ParallelPolOptCorrect,,,49,60,13,52,60,Qed,9,7,0,,1,reject_post_tiling_affine_contradiction,0,,no,yes,no,yes,Failure elimination,Driver-local impure control-flow fact,low,Keep the no-return lemmas; mark the two short Ltac wrappers Local only if API compatibility permits. Otherwise preserve them.,retain,low,Exported and transitively used by a config entry; preserve name and type.
Ltac,Public,reject_tiling_contradiction,ParallelPolOptCorrect.reject_tiling_contradiction,ParallelPolOptCorrect,,,62,64,3,,,,0,0,1,reject_tiling_no_return,22,diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct;diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf;diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct;diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf;identity_tiling_opt_prepared_from_poly_no_iss_poly_correct;identity_tiling_opt_prepared_from_poly_no_iss_poly_wf;phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct;phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf;phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct;phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf;try_diamond_phase_pipeline_from_source_pol_poly_correct;try_diamond_phase_pipeline_from_source_pol_poly_wf;try_diamond_phase_pipeline_from_source_pol_poly_with_iss_correct;try_diamond_phase_pipeline_from_source_pol_poly_with_iss_wf;try_identity_tiling_phase_pipeline_from_source_pol_poly_correct;try_identity_tiling_phase_pipeline_from_source_pol_poly_wf;try_phase_pipeline_from_source_pol_poly_correct;try_phase_pipeline_from_source_pol_poly_wf;try_verified_diamond_after_phase_mid_poly_correct;try_verified_diamond_after_phase_mid_poly_wf;try_verified_tiling_after_phase_mid_poly_correct;try_verified_tiling_after_phase_mid_poly_wf,0,,no,yes,no,yes,Failure elimination,Driver-local impure control-flow fact,low,Keep the no-return lemmas; mark the two short Ltac wrappers Local only if API compatibility permits. Otherwise preserve them.,retain,low,Exported and transitively used by a config entry; preserve name and type.
Ltac,Public,reject_post_tiling_affine_contradiction,ParallelPolOptCorrect.reject_post_tiling_affine_contradiction,ParallelPolOptCorrect,,,65,67,3,,,,0,0,1,reject_post_tiling_affine_no_return,2,try_verified_diamond_after_phase_mid_poly_correct;try_verified_diamond_after_phase_mid_poly_wf,0,,no,yes,no,yes,Failure elimination,Driver-local impure control-flow fact,low,Keep the no-return lemmas; mark the two short Ltac wrappers Local only if API compatibility permits. Otherwise preserve them.,retain,low,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,checked_parallel_current_annotated_codegen_at_correct,ParallelPolOptCorrect.checked_parallel_current_annotated_codegen_at_correct,ParallelPolOptCorrect,,,68,79,13,75,79,Qed,5,3,0,,10,parallel_current_affine_prepared_from_poly_correct;parallel_current_affine_prepared_from_poly_with_iss_correct;parallel_current_diamond_prepared_from_poly_correct;parallel_current_diamond_prepared_from_poly_with_iss_correct;parallel_current_identity_prepared_from_poly_correct;parallel_current_identity_prepared_from_poly_with_iss_correct;parallel_current_identity_tiled_prepared_from_poly_correct;parallel_current_identity_tiled_prepared_from_poly_with_iss_correct;parallel_current_prepared_from_poly_correct;parallel_current_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Annotation/codegen boundary,Thin adapter to existing parallel/vector annotation and codegen correctness,low,Keep as named boundary wrappers; their current proofs are already short.,retain,low,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,checked_vector_current_annotated_codegen_at_correct,ParallelPolOptCorrect.checked_vector_current_annotated_codegen_at_correct,ParallelPolOptCorrect,,,81,92,13,88,92,Qed,5,3,0,,10,vector_current_affine_prepared_from_poly_correct;vector_current_affine_prepared_from_poly_with_iss_correct;vector_current_diamond_prepared_from_poly_correct;vector_current_diamond_prepared_from_poly_with_iss_correct;vector_current_identity_prepared_from_poly_correct;vector_current_identity_prepared_from_poly_with_iss_correct;vector_current_identity_tiled_prepared_from_poly_correct;vector_current_identity_tiled_prepared_from_poly_with_iss_correct;vector_current_prepared_from_poly_correct;vector_current_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Annotation/codegen boundary,Thin adapter to existing parallel/vector annotation and codegen correctness,low,Keep as named boundary wrappers; their current proofs are already short.,retain,low,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,checked_parallel_current_many_annotated_codegen_at_correct,ParallelPolOptCorrect.checked_parallel_current_many_annotated_codegen_at_correct,ParallelPolOptCorrect,,,94,110,20,101,110,Qed,10,8,0,,10,parallel_current_many_affine_prepared_from_poly_correct;parallel_current_many_affine_prepared_from_poly_with_iss_correct;parallel_current_many_diamond_prepared_from_poly_correct;parallel_current_many_diamond_prepared_from_poly_with_iss_correct;parallel_current_many_identity_prepared_from_poly_correct;parallel_current_many_identity_prepared_from_poly_with_iss_correct;parallel_current_many_identity_tiled_prepared_from_poly_correct;parallel_current_many_identity_tiled_prepared_from_poly_with_iss_correct;parallel_current_many_prepared_from_poly_correct;parallel_current_many_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Annotation/codegen boundary,Thin adapter to existing parallel/vector annotation and codegen correctness,low,Keep as named boundary wrappers; their current proofs are already short.,retain,low,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_verified_tiling_after_phase_mid_poly_correct,ParallelPolOptCorrect.try_verified_tiling_after_phase_mid_poly_correct,ParallelPolOptCorrect,,,114,157,45,123,157,Qed,35,33,1,reject_tiling_contradiction,2,try_identity_tiling_phase_pipeline_from_source_pol_poly_correct;try_phase_pipeline_from_source_pol_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_verified_tiling_after_phase_mid_poly_wf,ParallelPolOptCorrect.try_verified_tiling_after_phase_mid_poly_wf,ParallelPolOptCorrect,,,159,193,36,166,193,Qed,28,26,1,reject_tiling_contradiction,2,try_identity_tiling_phase_pipeline_from_source_pol_poly_wf;try_phase_pipeline_from_source_pol_poly_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_phase_pipeline_from_source_pol_poly_correct,ParallelPolOptCorrect.try_phase_pipeline_from_source_pol_poly_correct,ParallelPolOptCorrect,,,195,235,42,205,235,Qed,31,29,2,reject_tiling_contradiction;try_verified_tiling_after_phase_mid_poly_correct,2,phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct;try_checked_iss_phase_pipeline_from_poly_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_phase_pipeline_from_source_pol_poly_wf,ParallelPolOptCorrect.try_phase_pipeline_from_source_pol_poly_wf,ParallelPolOptCorrect,,,237,261,26,245,261,Qed,17,15,2,reject_tiling_contradiction;try_verified_tiling_after_phase_mid_poly_wf,2,phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf;try_checked_iss_phase_pipeline_from_poly_poly_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_identity_tiling_phase_pipeline_from_source_pol_poly_correct,ParallelPolOptCorrect.try_identity_tiling_phase_pipeline_from_source_pol_poly_correct,ParallelPolOptCorrect,,,263,304,43,273,304,Qed,32,30,2,reject_tiling_contradiction;try_verified_tiling_after_phase_mid_poly_correct,1,identity_tiling_opt_prepared_from_poly_no_iss_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_identity_tiling_phase_pipeline_from_source_pol_poly_wf,ParallelPolOptCorrect.try_identity_tiling_phase_pipeline_from_source_pol_poly_wf,ParallelPolOptCorrect,,,306,331,27,314,331,Qed,18,16,2,reject_tiling_contradiction;try_verified_tiling_after_phase_mid_poly_wf,1,identity_tiling_opt_prepared_from_poly_no_iss_poly_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_verified_diamond_after_phase_mid_poly_correct,ParallelPolOptCorrect.try_verified_diamond_after_phase_mid_poly_correct,ParallelPolOptCorrect,,,333,398,67,343,398,Qed,56,54,2,reject_post_tiling_affine_contradiction;reject_tiling_contradiction,2,try_diamond_phase_pipeline_from_source_pol_poly_correct;try_diamond_phase_pipeline_from_source_pol_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_verified_diamond_after_phase_mid_poly_wf,ParallelPolOptCorrect.try_verified_diamond_after_phase_mid_poly_wf,ParallelPolOptCorrect,,,400,445,47,408,445,Qed,38,36,2,reject_post_tiling_affine_contradiction;reject_tiling_contradiction,2,try_diamond_phase_pipeline_from_source_pol_poly_wf;try_diamond_phase_pipeline_from_source_pol_poly_with_iss_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_diamond_phase_pipeline_from_source_pol_poly_correct,ParallelPolOptCorrect.try_diamond_phase_pipeline_from_source_pol_poly_correct,ParallelPolOptCorrect,,,447,488,43,457,488,Qed,32,30,2,reject_tiling_contradiction;try_verified_diamond_after_phase_mid_poly_correct,2,diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct;try_checked_iss_diamond_phase_pipeline_from_poly_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_diamond_phase_pipeline_from_source_pol_poly_wf,ParallelPolOptCorrect.try_diamond_phase_pipeline_from_source_pol_poly_wf,ParallelPolOptCorrect,,,490,515,27,498,515,Qed,18,16,2,reject_tiling_contradiction;try_verified_diamond_after_phase_mid_poly_wf,2,diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf;try_checked_iss_diamond_phase_pipeline_from_poly_poly_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct,ParallelPolOptCorrect.diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct,ParallelPolOptCorrect,,,517,536,21,524,536,Qed,13,11,2,reject_tiling_contradiction;try_diamond_phase_pipeline_from_source_pol_poly_correct,3,parallel_current_diamond_prepared_from_poly_correct;parallel_current_many_diamond_prepared_from_poly_correct;vector_current_diamond_prepared_from_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
